Timestamp,Age,Gender,City,Position ,Total experience,Experience in Germany,Seniority level,Main technology,Annual Salary in EUR,Bonus in EUR,Number of vacation days,Employment status,Contract duration,Main language at work,Company type
24-11-2020 11:14,26,Male,Munich,Software Engineer,5,3,Senior,TypeScript,80000,5000,30,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:14,26,Male,Berlin,Backend Developer,7,4,Senior,Ruby,80000,,28,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:14,29,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,120000,120000,30,Self-employed (freelancer),Temporary contract,English,Product
24-11-2020 11:15,28,Male,Berlin,Frontend Developer,4,1,Junior,Javascript,54000,,24,Full-time employee,Unlimited contract,English,Startup
24-11-2020 11:15,37,Male,Berlin,Backend Developer,17,6,Senior,C# .NET,62000,,29,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:15,32,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s",76000,5000,30,Full-time employee,Unlimited contract,English,Startup
24-11-2020 11:16,37,Male,Berlin,Frontend Developer,6,0.4,Middle,Javascript,57000,,24,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:16,24,Male,Berlin,Frontend Developer,5,1,Senior,Typescript,65000,,27,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:17,29,Male,Berlin,Backend Developer,8,2,Senior,PHP,56000,,28,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:17,35,Male,Berlin,Software Engineer,15,3,Lead,Java,95000,,30,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:18,32,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,52500,,30,Full-time employee,Unlimited contract,German,Consulting / Agency
24-11-2020 11:18,,Male,Berlin,Software Engineer,25,11,Senior,C++,100000,101,24,Self-employed (freelancer),Temporary contract,English,Product
24-11-2020 11:18,,,Berlin,Software Engineer,,,Lead,PHP,90000,40000,,Full-time employee,Unlimited contract,English,
24-11-2020 11:18,34,Male,Berlin,Software Engineer,14,5,Senior,Typescript,70000,,28,Full-time employee,Unlimited contract,English,Startup
24-11-2020 11:18,28,Male,Berlin,Designer (UI/UX),11,2,Senior,,75000,9400,30,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:18,31,Male,Wolfsburg,Backend Developer,5,1,Senior,Kotlin,75000,2000,25,Full-time employee,Unlimited contract,English,Consulting / Agency
24-11-2020 11:18,29,Male,Hamburg,Backend Developer,7,3,Middle,Ruby,60350,,31,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:19,41,Male,Berlin,Product Manager,18,2,Senior,,78000,,28,Full-time employee,Unlimited contract,English,Startup
24-11-2020 11:20,27,Male,Berlin,Backend Developer,8,3,Senior,PHP,60000,,25,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:20,34,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,80000,80000,28,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:21,34,Male,Berlin,DevOps,13,5,Senior,,103000,,30,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:21,34,Male,Berlin,Software Architect,15,9,Lead,NodeJS,100000,,24,Full-time employee,Unlimited contract,English,Product
24-11-2020 11:22,25,Male,Berlin,Software Engineer,5,2,Senior,Javascript,65000,,28,Full-time employee,Unlimited contract,German,Product
